3,179,67
4,168,48
2,164,54
7,165,75
4,167,66
1,164,48
3,175,65
7,178,115
7,165,50
7,178,73
3,175,95
3,174,55
4,168,45
6,163,53
1,165,52
1,159,53
4,153,50
3,160,87
4,156,65
6,150,41
4,175,80
1,166,57
2,177,69
5,168,74
1,158,60
6,158,45
3,158,45
3,167,60
2,175,63
1,170,56
6,180,67
2,168,54
6,174,68
7,175,85
1,179,90
1,182,77
2,164,65
6,165,80
3,160,62
4,172,63
3,168,73
1,160,65
3,168,65
1,160,65
7,160,55
6,175,58
2,150,40
6,165,65
2,174,66
6,170,60
1,168,55
3,158,58
4,156,61
1,155,42
1,158,64
6,161,62
7,177,60
2,175,90
3,171,56
5,168,65
3,164,71
6,174,73
3,175,79
